	name	P(score>  0.99)	P(score>  0.95)	P(score>  0.90)	P(score>  0.85)	P(score>  0.80)
500	DOC#644	0.0	0.0	0.0	0.0	0.0
501	DOC#645	0.399	0.847	0.99	1.0	1.0
502	DOC#646	0.0	0.0	0.0	0.0	0.0
503	DOC#648	0.113	0.197	0.783	0.987	1.0
504	DOC#650	0.0	0.0	0.0	0.0	0.0
505	DOC#651	0.0	0.0	0.0	0.0	0.0
506	DOC#652	0.0	0.0	0.0	0.554	0.961
507	DOC#653	0.0	0.0	0.0	0.0	0.0
508	DOC#654	0.255	0.727	0.977	0.998	1.0
509	DOC#655	0.0	0.0	0.0	0.102	0.451
510	DOC#656	0.0	0.0	0.0	0.0	0.0
511	DOC#657	0.0	0.0	0.0	0.0	0.0
512	DOC#658	0.0	0.0	0.0	0.151	0.606
513	DOC#659	0.0	0.0	0.0	0.0	0.0
514	DOC#660	0.0	0.0	0.179	0.672	0.948
515	DOC#661	0.0	0.0	0.0	0.0	0.0
516	DOC#662	0.0	0.0	0.0	0.017	0.161
517	DOC#663	0.0	0.132	0.638	0.947	0.995
518	DOC#665	0.0	0.0	0.0	0.0	0.041
519	DOC#666	0.0	0.0	0.0	0.0	0.0
520	DOC#667	0.375	0.822	0.98	1.0	1.0
521	DOC#668	0.0	0.0	0.0	0.0	0.084
522	DOC#669	0.0	0.0	0.121	0.398	0.756
523	DOC#670	0.0	0.0	0.003	0.028	0.153
524	DOC#671	0.0	0.0	0.0	0.0	0.0
525	DOC#672	0.0	0.0	0.0	0.0	0.0
526	DOC#673	0.0	0.0	0.0	0.0	0.0
527	DOC#674	0.24	0.68	0.943	0.998	1.0
528	DOC#675	0.0	0.0	0.0	0.0	0.0
529	DOC#676	0.412	0.859	0.993	1.0	1.0
530	DOC#677	0.24	0.713	0.951	0.996	1.0
531	DOC#679	0.0	0.0	0.0	0.0	0.104
532	DOC#680	0.0	0.0	0.0	0.0	0.004
533	DOC#681	0.425	0.871	0.996	1.0	1.0
534	DOC#682	0.0	0.0	0.0	0.0	0.017
535	DOC#683	0.0	0.001	0.062	0.296	0.662
536	DOC#684	0.366	0.855	0.985	0.999	1.0
537	DOC#685	0.282	0.726	0.965	1.0	1.0
538	DOC#686	0.0	0.0	0.0	0.0	0.0
539	DOC#687	0.0	0.0	0.0	0.0	0.0
540	DOC#688	0.0	0.0	0.0	0.0	0.0
541	DOC#689	0.0	0.0	0.0	0.0	0.0
542	DOC#691	0.0	0.0	0.0	0.0	0.0
543	DOC#692	0.0	0.0	0.0	0.0	0.025
544	DOC#693	0.0	0.417	0.888	0.995	1.0
545	DOC#694	0.212	0.682	0.958	0.998	1.0
546	DOC#695	0.0	0.0	0.0	0.075	0.457
547	DOC#696	0.369	0.848	0.992	1.0	1.0
548	DOC#697	0.0	0.0	0.0	0.0	0.0
549	DOC#698	0.0	0.0	0.0	0.0	0.0
550	DOC#700	0.0	0.0	0.0	0.0	0.0
551	DOC#701	0.0	0.0	0.0	0.0	0.0
552	DOC#702	0.0	0.0	0.0	0.001	0.018
553	DOC#704	0.0	0.0	0.0	0.0	0.0
554	DOC#705	0.0	0.0	0.0	0.0	0.0
555	DOC#706	0.0	0.0	0.0	0.0	0.185
556	DOC#707	0.152	0.244	0.527	0.847	0.97
557	DOC#708	0.0	0.0	0.098	0.441	0.786
558	DOC#709	0.0	0.0	0.0	0.0	0.205
559	DOC#710	0.0	0.0	0.106	0.384	0.727
560	DOC#711	0.0	0.0	0.0	0.0	0.0
561	DOC#712	0.0	0.0	0.0	0.0	0.0
562	DOC#713	0.0	0.0	0.0	0.0	0.075
563	DOC#714	0.0	0.0	0.0	0.0	0.0
564	DOC#716	0.381	0.838	0.992	1.0	1.0
565	DOC#717	0.0	0.0	0.0	0.0	0.0
566	DOC#718	0.0	0.005	0.099	0.389	0.754
